林道名,関係市町村,事業型,事業内容,工期,総事業費千円,ほか表記,資料ページ,行政出典,確認日
妙義荒船線,佐久市,林道改良事業,林道改良事業（改良L103=ｍ）,R7～R7,57000,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
九竜平線,佐久市,林道改良事業,林道改良事業（改良L=50ｍ）,R7～R8,95910,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大上線,佐久穂町,林道改良事業,林道改良事業（改良L=20ｍ）,R7～R7,19160,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
八ヶ岳線,南牧村,林道改良事業,林道改良事業（改良L=150ｍ）,R7～R10,121340,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
山木1号線,北相木村,林道改良事業,林道改良事業（改良L=32ｍ）,R7～R7,22800,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
森泉山線,御代田町,林道改良事業,林道改良事業（改良L=20ｍ）,R7～R7,22230,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
日影入線,伊那市,林道改良事業,林道改良事業（改良L=32ｍ）,R7～R10,41920,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
南アルプス線,伊那市,林道改良事業,林道改良事業（改良L=151ｍ）,R7～R11,145620,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
古城線,駒ヶ根市,林道改良事業,林道改良事業（改良L=150ｍ）,R7～R11,95800,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
横根山線,飯島町,林道改良事業,林道改良事業（改良L=115ｍ）,R7～R10,80500,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
東沢線,飯田市,林道改良事業,林道改良事業（舗装L=1330ｍ） | 林道改良事業（改良L=12ｍ）,R8～R11 | R8～R9,72300 | 14120,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
御池山線,飯田市,林道改良事業,林道改良事業（改良L=60ｍ）,R10～R11,45600,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大谷霧ヶ原線,阿智村,林道改良事業,"林道改良事業（改良L=2,100ｍ）",R8～R11,95760,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
本谷線,豊丘村,林道改良事業 | 林道点検診断・保全整備事業,林道改良事業（改良L=64ｍ） | 点検診断・保全整備（点検診断L=59m） | 点検診断・保全整備（保全整備L=31m）,R7～R8 | R10～R10 | R8～R8,37620 | 3400 | 5900,なし,2 | 3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
本洞線,木曽町,林道改良事業,林道改良事業（改良L=83ｍ）,R7～R7,44711,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
樽沢線,王滝村,林道改良事業,林道改良事業（改良L=12ｍ）,R7～R7,27360,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
野尻与川線,大桑村,林道改良事業,林道改良事業（改良L=5ｍ）,R7～R7,19160,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
宮ノ入線,松本市,林道改良事業,林道改良事業（改良L=545ｍ）,R7～R11,120860,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
烏川線,安曇野市,林道改良事業,林道改良事業（改良L=33ｍ）,R7～R7,17417,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
長峰線,安曇野市,林道改良事業,林道改良事業（改良L=120ｍ）,R8～R11,82080,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
樫俣線,朝日村,林道改良事業,林道改良事業（改良L=129ｍ）,R7～R9,96584,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大川線,長野市,林道改良事業 | 林道点検診断・保全整備事業,林道改良事業（改良L=380ｍ） | 点検診断・保全整備（点検診断L=823m）,R7～R11,107380 | 19260,なし,2 | 4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
中津川線,山ノ内町,林道改良事業,林道改良事業（改良L=8ｍ）,R7～R8,19210,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
城山線,佐久市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=63m）,R7～R7,2500,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
虚空蔵線,上田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=6m）,R7～R7,5280,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
氷沢線,上田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=14m）,R8～R8,5940,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
和田武石線,上田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=5m）,R9～R9,2420,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
