ID,林道名,関係市町村,証拠種別,証拠区分,資料名,URL,照合方法,照合信頼度,本文直接確認,確認属性,抜粋,確認日
NGN-000001,東嶽,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000001,東嶽,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"2号林務部長通知32イ基幹路網の整備計画(単位延長:m面積:ha)開設/拡張種類区分位置(林班)路線名延長及び箇所数利用区域面積うち前半5年分対図備考開設(新設)自動車道林道154、158165、168、16991、9350、51、5781東嶽美濃戸林裏望岳多々羅枝5,0005,0003,3005,00060010449724332310○路網整備等推進区域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士",2026-07-16
NGN-000002,美濃戸,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000002,美濃戸,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"林務部長通知32イ基幹路網の整備計画(単位延長:m面積:ha)開設/拡張種類区分位置(林班)路線名延長及び箇所数利用区域面積うち前半5年分対図備考開設(新設)自動車道林道154、158165、168、16991、9350、51、5781東嶽美濃戸林裏望岳多々羅枝5,0005,0003,3005,00060010449724332310○路網整備等推進区域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見78",2026-07-16
NGN-000003,裏望岳,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000003,裏望岳,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"通知32イ基幹路網の整備計画(単位延長:m面積:ha)開設/拡張種類区分位置(林班)路線名延長及び箇所数利用区域面積うち前半5年分対図備考開設(新設)自動車道林道154、158165、168、16991、9350、51、5781東嶽美濃戸林裏望岳多々羅枝5,0005,0003,3005,00060010449724332310○路網整備等推進区域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見7826、2",2026-07-16
NGN-000004,多々羅枝,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000004,多々羅枝,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"2イ基幹路網の整備計画(単位延長:m面積:ha)開設/拡張種類区分位置(林班)路線名延長及び箇所数利用区域面積うち前半5年分対図備考開設(新設)自動車道林道154、158165、168、16991、9350、51、5781東嶽美濃戸林裏望岳多々羅枝5,0005,0003,3005,00060010449724332310○路網整備等推進区域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見7826、2711天",2026-07-16
NGN-000005,多々羅,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000005,多々羅,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"2イ基幹路網の整備計画(単位延長:m面積:ha)開設/拡張種類区分位置(林班)路線名延長及び箇所数利用区域面積うち前半5年分対図備考開設(新設)自動車道林道154、158165、168、16991、9350、51、5781東嶽美濃戸林裏望岳多々羅枝5,0005,0003,3005,00060010449724332310○路網整備等推進区域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見7826、2711",2026-07-16
NGN-000006,坂室,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000006,坂室,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"東嶽美濃戸林裏望岳多々羅枝5,0005,0003,3005,00060010449724332310○路網整備等推進区域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見7826、2711天皇林支大沢山高部猿ケ入600(10箇所)1,000(5箇所)150(3箇所)50(1箇所)1301685967○○路網整備等推進区域図法面保全局部改良局部改良局部改良計24,5002,065ウ基幹路網の維持管理基幹路網",2026-07-16
NGN-000007,天皇林支,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000007,天皇林支,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"網整備等推進区域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見7826、2711天皇林支大沢山高部猿ケ入600(10箇所)1,000(5箇所)150(3箇所)50(1箇所)1301685967○○路網整備等推進区域図法面保全局部改良局部改良局部改良計24,5002,065ウ基幹路網の維持管理基幹路網の開設にあたっては、管理者を定め、林道台帳等を作成して管理することとします。なお、管理者は、毎年、すべての路",2026-07-16
NGN-000008,大沢山,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000008,大沢山,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"推進区域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見7826、2711天皇林支大沢山高部猿ケ入600(10箇所)1,000(5箇所)150(3箇所)50(1箇所)1301685967○○路網整備等推進区域図法面保全局部改良局部改良局部改良計24,5002,065ウ基幹路網の維持管理基幹路網の開設にあたっては、管理者を定め、林道台帳等を作成して管理することとします。なお、管理者は、毎年、すべての路線の点",2026-07-16
NGN-000009,高部,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000009,高部,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"域図開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見7826、2711天皇林支大沢山高部猿ケ入600(10箇所)1,000(5箇所)150(3箇所)50(1箇所)1301685967○○路網整備等推進区域図法面保全局部改良局部改良局部改良計24,5002,065ウ基幹路網の維持管理基幹路網の開設にあたっては、管理者を定め、林道台帳等を作成して管理することとします。なお、管理者は、毎年、すべての路線の点検を",2026-07-16
NGN-000010,猿ヶ入,茅野市,existing-official,official,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000010,猿ヶ入,茅野市,municipal-forest-plan,official,茅野市森林整備計画書,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"開設(改築)自動車道林道73、74多々羅2,000247○路網整備等推進区域図拡張(舗装)自動車道林道18、19、20坂室1,800217路網整備等推進区域図拡張(改良)自動車道林道79、80、81富士見7826、2711天皇林支大沢山高部猿ケ入600(10箇所)1,000(5箇所)150(3箇所)50(1箇所)1301685967○○路網整備等推進区域図法面保全局部改良局部改良局部改良計24,5002,065ウ基幹路網の維持管理基幹路網の開設にあたっては、管理者を定め、林道台帳等を作成して管理することとします。なお、管理者は、毎年、すべての路線の点検を実施し",2026-07-16
NGN-000010,猿ヶ入,茅野市,osm,osm,OpenStreetMap,https://www.openstreetmap.org/way/146988886,OSM名称付き道路候補と線形,discovery,はい,代表位置 | 路線形状 | 道路種別 | tracktype,,2026-07-16
NGN-000011,棚嵐線,諏訪市,existing-official,official,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000011,棚嵐線,諏訪市,municipal-forest-plan,official,諏訪市森林整備計画書,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"6年4月18日付け6林整整第7号林野庁森林整備部長、国有林野部長通知33イ基幹路網の整備計画単位延長:km面積:ha開設/拡張種類区分位置(字・林班)路線名延長及び箇所数利用区域面積前半5ケ年の計画箇所及び延長対図番号開設自動車道林道諏訪市棚嵐線3,300m106ha0m1/71拡張(改良)(法面保全)自動車道林道諏訪市赤ジッコ線1,000m10箇所197ha0m1/72拡張(改良)(局部改良)自動車道林道諏訪市扇平南峠線200m2箇所125ha200m1/73拡張(改良)(局部改良)自動車道林道諏訪市付上線60m2箇所68ha60m1/78拡張(舗装)自動",2026-07-16
NGN-000012,赤ジッコ線,諏訪市,existing-official,official,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
