ID,林道名,取得元,Lv,候補状態,発見種別,候補キー,OSM要素種別,OSM_ID,OSM_URL,代表緯度,代表経度,関係市町村,位置状態,OSM道路種別,OSM路面,OSM_tracktype,OSM_access,抽出理由,取得日,照合状態,資料照合件数,行政資料件数,公開Web資料件数,独立ドメイン数,詳細属性,判定理由,主出典,根拠URL,照合日
NGN-000001,東嶽,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000001,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000002,美濃戸,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000002,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000003,裏望岳,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000003,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000004,多々羅枝,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000004,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000005,多々羅,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000005,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000006,坂室,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000006,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000007,天皇林支,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000007,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000008,大沢山,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000008,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000009,高部,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000009,,,,,,茅野市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000010,猿ヶ入,茅野市「茅野市森林整備計画書」 https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/146988886,Lv2,OSM・既存資料一致,OSM+既存資料,osm:猿ケ入:35.948:138.154,way,146988886,https://www.openstreetmap.org/way/146988886,35.9480141,138.1542706,茅野市,OSM代表点,track,,grade2,,名称に林道系表記／既存Lv0名称一致／名称付きhighway=track,2026-07-15,根拠付きカルテ,2,2,0,1,路線形状 | 道路種別 | tracktype | 行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域 | 路面,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・tracktype・行政計画・整備種別を確認。,茅野市「茅野市森林整備計画書」,https://www.city.chino.lg.jp/uploaded/attachment/28188.pdf,2026-07-16
NGN-000011,棚嵐線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000011,,,,,,諏訪市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,2026-07-16
NGN-000012,赤ジッコ線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000012,,,,,,諏訪市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,2026-07-16
NGN-000013,扇平南峠線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000013,,,,,,諏訪市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,2026-07-16
NGN-000014,付上線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000014,,,,,,諏訪市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,2026-07-16
NGN-000015,科ノ木線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000015,,,,,,諏訪市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,2026-07-16
NGN-000016,日向入山線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000016,,,,,,諏訪市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,2026-07-16
NGN-000017,上後２号線,諏訪市「諏訪市森林整備計画 変更計画書」 https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000017,,,,,,諏訪市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画 | 整備種別 | 整備内容 | 整備延長 | 利用区域,行政資料で同名路線と市町村または計画区域を確認。,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,2026-07-16
NGN-000018,鹿曲川線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/157476779,Lv2,OSM・既存資料一致,OSM+既存資料,osm:鹿曲川:36.141:138.331,way,156544070/156544081/156544169/156544426/156544435/157476735/157476779/157476855,https://www.openstreetmap.org/way/156544070,36.1413380,138.3313837,佐久市,OSM代表点,unclassified,,,,名称に林道系表記／既存Lv0名称一致／路線名形式のservice/unclassified,2026-07-15,根拠付きカルテ,2,2,0,2,路線形状 | 道路種別 | 行政計画,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・行政計画を確認。,佐久市森林整備計画 変更計画書,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.city.saku.nagano.jp/machizukuri/ringyo/seido_keikaku/shinrinseibi.files/sakusisinnrinnseibi8.4.1.pdf,2026-07-16
NGN-000019,山口沢線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/156413365,Lv2,OSM・既存資料一致,OSM+既存資料,osm:山口沢:36.187:138.516,way,156413365,https://www.openstreetmap.org/way/156413365,36.1869738,138.5161611,佐久市,OSM代表点,track,,grade1,,名称に林道系表記／既存Lv0名称一致／名称付きhighway=track,2026-07-15,根拠付きカルテ,2,2,0,2,路線形状 | 道路種別 | tracktype | 行政計画,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・tracktype・行政計画を確認。,佐久市森林整備計画 変更計画書,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.city.saku.nagano.jp/machizukuri/ringyo/seido_keikaku/shinrinseibi.files/sakusisinnrinnseibi8.4.1.pdf,2026-07-16
NGN-000020,八ヶ岳線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/142211512,Lv2,OSM・既存資料一致,OSM+既存資料,osm:八ケ岳:35.920:138.319,way,142211512,https://www.openstreetmap.org/way/142211512,35.9202999,138.3186456,南牧村,OSM代表点,track,,,,名称に林道系表記／既存Lv0名称一致／名称付きhighway=track,2026-07-15,根拠付きカルテ,2,2,0,1,路線形状 | 道路種別 | 行政計画 | 整備種別 | 整備内容 | 工期,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・行政計画・整備種別・整備内容を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,2026-07-16
NGN-000021,横河山線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画（R2-R6）」 https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/142724564,Lv2,OSM・既存資料一致,OSM+既存資料,osm:横河山:36.126:138.057,way,142724564/142724792,https://www.openstreetmap.org/way/142724564,36.1256399,138.0573767,岡谷市,OSM代表点,track,,,,名称に林道系表記／既存Lv0名称一致／名称付きhighway=track,2026-07-15,根拠付きカルテ,4,3,1,2,路線形状 | 道路種別 | 行政計画 | 整備種別 | 整備内容 | 路面 | 工期 | 実走記録 | 路線特性,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・行政計画・整備種別・整備内容を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf | https://rindo-ktansaku.sakura.ne.jp/nagano-top/n-032/n-032.htm,2026-07-16
NGN-000022,砥沢線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画（R2-R6）」 https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000022,,,,,,下諏訪町,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画,行政資料で同名路線と市町村または計画区域を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,2026-07-16
NGN-000023,南アルプス線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画 第2回変更（H27-H31）」 https://www.pref.nagano.lg.jp/ringyo/documents/henkou2.pdf | 長野県「農山漁村地域整備計画（H27-H31）」 https://www.pref.nagano.lg.jp/ringyo/documents/keikaku01.pdf | 長野県「農山漁村地域整備計画（H22-H26）」 https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/145479185,Lv2,OSM・既存資料一致,OSM+既存資料,osm:南アルプス:35.761:138.169,way,145479001/145479154/145479185/145479247/145479314/301004244/437108097/437108098/494836010/538444540/538444541,https://www.openstreetmap.org/way/145479001,35.7614781,138.1688497,伊那市,OSM代表点,track,,grade1,,名称に林道系表記／既存Lv0名称一致／名称付きhighway=track,2026-07-15,根拠付きカルテ,5,5,0,1,路線形状 | 道路種別 | tracktype | 行政計画 | 整備種別 | 整備内容 | 工期,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・tracktype・行政計画・整備種別を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/henkou2.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/keikaku01.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf,2026-07-16
NGN-000024,日影入線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画（R2-R6）」 https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000024,,,,,,伊那市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,3,3,0,1,行政計画 | 整備種別 | 整備内容 | 工期,行政資料で同名路線と市町村または計画区域を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,2026-07-16
NGN-000025,千代田湖枯木線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画 第2回変更（H27-H31）」 https://www.pref.nagano.lg.jp/ringyo/documents/henkou2.pdf | 長野県「農山漁村地域整備計画（H27-H31）」 https://www.pref.nagano.lg.jp/ringyo/documents/keikaku01.pdf | 長野県「農山漁村地域整備計画（H22-H26）」 https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000025,,,,,,伊那市,位置未特定,,,,,既存Lv0から継承,,基本情報確認,4,4,0,1,行政計画,行政資料で同名路線と市町村または計画区域を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/henkou2.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/keikaku01.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf,2026-07-16
NGN-000026,古城線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画（R2-R6）」 https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf | 長野県「農山漁村地域整備計画 第2回変更（H27-H31）」 https://www.pref.nagano.lg.jp/ringyo/documents/henkou2.pdf | 長野県「農山漁村地域整備計画（H27-H31）」 https://www.pref.nagano.lg.jp/ringyo/documents/keikaku01.pdf | 長野県「農山漁村地域整備計画（H22-H26）」 https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/99144102,Lv2,OSM・既存資料一致,OSM+既存資料,osm:古城:35.734:137.882,way,99144102/146992570,https://www.openstreetmap.org/way/99144102,35.7338393,137.8815090,駒ヶ根市,OSM代表点,unclassified,compacted,,,名称に林道系表記／既存Lv0名称一致／未舗装系surfaceタグ／路線名形式のservice/unclassified,2026-07-15,根拠付きカルテ,6,6,0,1,路線形状 | 道路種別 | 路面 | 行政計画 | 整備種別 | 整備内容 | 工期,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・路面・行政計画・整備種別を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/henkou2.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/keikaku01.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,2026-07-16
NGN-000027,宮ノ沢線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画（R2-R6）」 https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000027,,,,,,飯島町,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画,行政資料で同名路線と市町村または計画区域を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,2026-07-16
NGN-000028,不動滝線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画（R2-R6）」 https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/162488056,Lv2,OSM・既存資料一致,OSM+既存資料,osm:不動滝:36.509:138.050,way,162488056/162488108/162488125/162919987/162920000/162920005/162920010/162920012/162920014/162920018/162920074/1243068902/1243068903/1243068904/1243068905/1243068906/1243068908/1243068909/1243068910/1243068911/1243068912/1243068913/1243068914/1265537390/1265537391/1265724187/1265724188,https://www.openstreetmap.org/way/162488056,36.5093846,138.0502218,高森町,OSM代表点,unclassified,asphalt,,,名称に林道系表記／既存Lv0名称一致／路線名形式のservice/unclassified,2026-07-15,根拠付きカルテ,2,2,0,1,路線形状 | 道路種別 | 路面 | 行政計画,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・路面・行政計画を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,2026-07-16
NGN-000029,二又沢線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画（R2-R6）」 https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,Lv1,既存資料のみ・OSM未照合,既存資料,source:NGN-000029,,,,,,高森町,位置未特定,,,,,既存Lv0から継承,,基本情報確認,2,2,0,1,行政計画,行政資料で同名路線と市町村または計画区域を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,2026-07-16
NGN-000030,売木うつぼ線,長野県「農山漁村地域整備計画の変更（第2回）」 https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | 長野県「農山漁村地域整備計画（H22-H26）」 https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf | OpenStreetMap contributors https://www.openstreetmap.org/way/122676683,Lv2,OSM・既存資料一致,OSM+既存資料,osm:売木うつぼ:35.315:137.703,way,122676535/122676683/122703351/122703885/122704320/122730483,https://www.openstreetmap.org/way/122676535,35.3148350,137.7032140,阿南町,OSM代表点,unclassified,,,,名称に林道系表記／既存Lv0名称一致／路線名形式のservice/unclassified,2026-07-15,根拠付きカルテ,3,3,0,1,路線形状 | 道路種別 | 行政計画 | 整備種別 | 整備内容 | 路面 | 工期,位置付きOSMと行政資料を名称・地域で一意照合し、路線形状・道路種別・行政計画・整備種別・整備内容を確認。,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf | https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf,2026-07-16
