ID,表示緯度,表示経度,入口緯度,入口経度,出口緯度,出口経度,位置取得元,位置確認日
NGN-000006,35.9803993,138.1592387,35.9817304,138.1575936,35.9789548,138.1609809,OpenStreetMap way name match: 坂室バイパス (way 92624025),2026-07-08
NGN-000009,35.9948235,138.1279433,35.9948235,138.1279433,,,OpenStreetMap Nominatim: 高部; 茅野市内の地名代表点,2026-07-08
NGN-000010,35.9482940,138.1542560,35.9501120,138.1518120,35.9461440,138.1573660,OpenStreetMap way name match: 林道猿ヶ入線 (way 146988886),2026-07-08
NGN-000011,35.9908150,138.1307040,35.9908150,138.1307040,,,諏訪市森林整備計画 1/7 概要図 ①から代表点を採取,2026-07-08
NGN-000012,35.9519610,138.0599670,35.9519610,138.0599670,,,諏訪市森林整備計画 1/7 概要図 ②から代表点を採取,2026-07-08
NGN-000013,36.0899680,138.1772840,36.0899680,138.1730210,36.0899680,138.1815470,諏訪市森林整備計画 1/7 概要図 ③/⑦から代表点を採取,2026-07-08
NGN-000014,35.9600350,138.0675460,35.9600350,138.0675460,,,諏訪市森林整備計画 1/7 概要図 ⑧から代表点を採取,2026-07-08
NGN-000015,36.1136840,138.1894420,36.1136840,138.1894420,,,諏訪市森林整備計画 1/7 概要図 ④から代表点を採取,2026-07-08
NGN-000016,35.9489330,138.0871250,35.9489330,138.0871250,,,諏訪市森林整備計画 1/7 概要図 ⑤から代表点を採取,2026-07-08
NGN-000017,35.9933380,138.0640720,35.9933380,138.0640720,,,諏訪市森林整備計画 1/7 概要図 ⑥から代表点を採取,2026-07-08
